level,real,user,sys,succes
0,10.098,9.456,0.258,True
100,322.844,317.988,4.762,False
101,246.688,241.943,4.745,False
102,276.281,271.855,4.4,False
104,256.861,250.18,4.823,False
108,336.6,328.984,5.424,False
10,4.858,4.822,0.172,True
110,13.609,13.368,0.286,True
11,464.681,455.615,5.392,False
12,0.433,0.5,0.11,True
13,1.095,1.17,0.146,True
14,340.32,335.419,4.77,False
16,239.462,234.838,4.551,False
17,0.669,0.733,0.117,True
18,256.697,252.318,4.432,False
19,382.55,378.082,4.427,False
1,0.139,0.183,0.14,True
21,1.809,1.89,0.146,True
23,19.774,19.621,0.316,True
24,275.271,271.0,4.293,False
25,42.7,42.339,0.556,True
26,282.786,278.411,4.407,False
27,337.829,333.46500000000003,4.324,False
28,229.78,225.755,4.087,False
29,75.543,74.554,1.099,True
2,0.276,0.319,0.111,True
30,49.126,48.744,0.57,True
32,244.298,239.746,4.593,False
33,309.257,304.813,4.433,False
34,328.639,324.302,4.327,False
35,256.275,251.93,4.373,False
36,296.197,291.759,4.447,False
37,301.156,297.098,4.05,False
38,264.377,260.01800000000003,4.384,False
39,234.87,230.75,4.167,False
3,0.379,0.518,0.09,True
40,274.355,269.935,4.35,False
41,257.248,252.931,4.273,False
43,303.226,298.903,4.223,False
44,280.88,276.436,4.36,False
45,249.072,244.574,4.463,False
46,247.271,243.121,4.18,False
47,253.257,248.836,4.38,False
48,290.953,286.58299999999997,4.367,False
49,250.106,245.667,4.407,False
4,19.336,19.172,0.376,True
50,280.714,276.245,4.483,False
52,295.088,290.496,4.5,False
53,253.21,248.817,4.423,False
54,291.882,287.305,4.5,False
55,110.523,109.443,1.213,True
56,292.424,288.092,4.324,False
57,260.324,256.105,4.24,False
58,232.858,228.06799999999998,4.733,False
59,230.823,226.485,4.326,False
60,233.867,229.627,4.294,False
61,237.011,232.764,4.227,False
63,256.281,252.261,4.04,False
65,272.721,268.25,4.483,False
66,332.481,327.903,4.55,False
67,268.524,264.153,4.324,False
69,266.418,261.861,4.516,False
6,0.134,0.237,0.127,True
71,218.46699999999998,214.185,4.344,False
72,277.791,273.425,4.367,False
73,276.555,271.999,4.58,False
74,253.182,248.797,4.35,False
75,283.661,278.875,4.8,False
79,36.487,36.256,0.413,True
7,1.948,2.023,0.153,True
81,263.641,259.45799999999997,4.201,False
82,251.217,246.848,4.337,False
83,272.733,268.532,4.204,False
84,309.41,305.209,4.181,False
85,230.801,226.321,4.473,False
89,248.072,243.677,4.367,False
90,302.279,297.947,4.314,False
91,232.847,228.309,4.53,False
93,306.272,301.997,4.257,False
94,242.016,237.576,4.413,False
96,236.936,232.704,4.277,False
99,239.03199999999998,234.731,4.273,False
9,5.373,5.417,0.18,True
